City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,punta arenas,-53.15,-70.9167,1.06,93,100,4.63,CL,1718155599
1,stanley,54.868,-1.6985,7.93,93,75,1.03,GB,1718155599
2,udachny,66.4167,112.4,20.25,42,93,2.46,RU,1718155599
3,comodoro rivadavia,-45.8667,-67.5,11.92,62,0,5.14,AR,1718155024
4,bethel,41.3712,-73.414,19.25,77,0,2.06,US,1718155334
5,indramayu,-6.3264,108.32,27.22,79,9,1.9,ID,1718155599
6,lihue,21.9789,-159.3672,30.58,70,20,7.2,US,1718155599
7,kupang,-10.1667,123.5833,32.32,66,20,5.14,ID,1718155599
8,puerto natales,-51.7236,-72.4875,-1.88,93,26,1.54,CL,1718155599
9,touros,-5.1989,-35.4608,24.14,93,11,4.51,BR,1718155599
10,enewetak,11.3474,162.3373,28.23,79,30,8.66,MH,1718155599
11,hasaki,35.7333,140.8333,27.94,75,100,6.04,JP,1718155599
12,lebu,-37.6167,-73.65,12.84,93,100,9.4,CL,1718155599
13,port-aux-francais,-49.35,70.2167,1.55,68,98,17.24,TF,1718155600
14,ushuaia,-54.8,-68.3,-3.19,80,0,2.06,AR,1718155448
15,iqaluit,63.7506,-68.5145,1.85,80,75,8.23,CA,1718155600
16,yellowknife,62.456,-114.3525,16.34,70,75,4.12,CA,1718155390
17,cova figueira,14.8905,-24.2934,18.31,85,27,3.59,CV,1718155600
18,san-pedro,4.7485,-6.6363,25.55,87,100,3.13,CI,1718155600
19,ilulissat,69.2167,-51.1,3.01,93,100,2.57,GL,1718155600
20,vallo della lucania,40.2297,15.2658,19.75,74,100,1.8,IT,1718155600
21,albany,42.6001,-73.9662,17.23,77,70,0.45,US,1718155499
22,georgetown,5.4112,100.3354,29.96,80,20,2.06,MY,1718155600
23,nar'yan-mar,67.6713,53.087,6.73,90,100,3.58,RU,1718155600
24,papatowai,-46.5619,169.4708,7.17,65,100,4.09,NZ,1718155600
25,talnakh,69.4865,88.3972,5.11,89,100,3.71,RU,1718155600
